messageSide,charaName,charaExpress,cahraMove,nameBg,message,afterWaitTimer,BgId,bgmName,seName,isNextSceneProcess
Left,Mona,Normal,,blue,覚えているか？,,,oo39_ys086,,
Left,Mona,Normal,,blue,前国王の言葉だ。,,,,,
Right,President,Normal,,blue,・・・・・・・・・ ,1,1,,,
Right,President,Normal,,blue,何だ。,,,,,
Left,Mona,Normal,,blue,「我が国の中心にそびえ立つ建物」「あれは我が国のシンボルだ」,1,2,,,
Left,Mona,Normal,,blue,「私の墓はあの建物の上に建てて欲しい」「これは最後の私の願いだ」　・・・と,,,,,
Left,Mona,Normal,,blue,"それなのに”現""国王、お前は",,,,,
Left,Mona,Normal,,blue,奴の屍を故郷に連れ戻し故郷に墓を建てた。,,,,,
Right,President,Normal,,blue,前国王の墓は生まれ故郷に建てるのが 我が国の長くからの仕来りなのだ！ ,1,3,,,
Left,Mona,Normal,,blue,仕来り？馬鹿か？,,,,,
Left,Mona,Normal,,blue,まぁ今回この国に来たのはな,,,,,
Left,Mona,Normal,,blue,奴の言葉通りにするためだ,,,,,
Left,Mona,Normal,,blue,奴とは親しかったし、随分世話になったからな。恩返しってやつだ。,,,,,
Left,Mona,Normal,,blue,しかし墓を此処まで持ってくるのは流石に罰当たりだろう？だから・・・・・,,,,,
Left,Mona,Normal,,blue,国の中心にそびえ立つシンボル・・,1,4,,,
Left,Mona,Normal,,blue,時計台の事だ。,,,,,
Left,Mona,Normal,,blue,それを奴の墓まで持っていく,,,,,
Left,Mona,Normal,,blue,根こそぎ全てな。,,,,,
Right,President,Normal,,blue,何だと？馬鹿な・・・冗談,1,5,,,
Left,Mona,Normal,,blue,じゃない,,,,,
Right,President,Normal,,blue,大体根こそぎ持ってくなん,,,,,
Left,Mona,Normal,,blue,もう爆弾も設置してある。無理に撤去しようとすると爆発するぞ。,,,,,
Right,President,Normal,,blue,・・・・・・・・・・・・ッッ！,,,,,
Left,Mona,Normal,,blue,俺達を誰だと思っているんだ？,,,,,
Left,Mona,Normal,,blue,我々は世界を股に掛ける犯罪グループ,0.5,,,,TRUE
Left,Mona,Normal,,blue,STANDARD 　　　MAD依 頼 受 付 兼 執 行 人だぞ？,,,,,
Right,President,Normal,,blue,君らの名前は良く知れてる。 ・・・だが今日で最後だ。,0.5,,,,TRUE
Left,Mona,Complain,,blue,何  ぃ　？,,,,,
Right,President,Normal,,blue,君等の今乗っている飛行艇なんだがね,1,6,,Airplain1,
Right,President,Normal,,blue,君達の船は完全に包囲されている。,,,,,
Right,President,Normal,,blue,今までの会話もまぁ. 時間稼ぎだったわけだ。 ,,,,,
Left,Mona,Complain,,blue,・・・・・・・・・・・・,1,7,,,
Left,Mona,Normal,,blue,あっそう,,,,,
Right,President,Normal,,blue,何だとっ！,1,8,,,
Left,Mona,Normal,,blue,こんな事も有ろうかとさお前のかわいい戦闘機達に ,,,,,
Left,Mona,Normal,,blue,予め小型爆弾セットさせてもらったよ。スイッチ一つで爆発。,,,,,
Right,President,Normal,,blue,ぐ・・・・,,,,,
Left,Mona,Normal,,blue,ご愁傷様。ってか。 ,,,,,
Right,President,Normal,,blue,ふん・・・・外を見てみろ。 ,,,,,
Left,Mona,Complain,,blue,・・・・・・・・・・？,0.5,,,,TRUE
Left,Mona,Complain,,blue,ギコ、外に出て見てくれ,,,,,
Right,Gico,Normal,,blue,……,0.5,,,,TRUE
Right,Gico,Normal,,blue,（バタン）,0.5,,,DoorClose1,TRUE
Left,Mona,Complain,,blue,寡黙な奴だ・・・,0.5,,,,TRUE
Right,Enemy1,Normal,,blue,STANDARD MAD！手を挙げろ。,,9,,,
Left,Gico,Normal,,blue,………,,,,,
